ชื่อโครงการ,ราคา
ภัสสร ราชพฤกษ์ - ติวานนท์ 2 (Passorn Ratchaphruek - Tiwanon 2),"4,590,000



เพิ่มเพื่อเปรียบเทียบ "
ณริณสิริ พระราม 9-กรุงเทพกรีฑา (Narinsiri Rama 9 - Krungthep Kreetha),"40,000,0 - 80,000,000



เพิ่มเพื่อเปรียบเทียบ "
ณริณสิริ กรุงเทพกรีฑา (Narinsiri Krungthep Kreetha),"40,000,0 - 80,000,000



เพิ่มเพื่อเปรียบเทียบ "
เซนโทร วิภาวดี - รังสิต (Centro Vibhavadi - Rangsit),"7,290,0 - 12,000,000



เพิ่มเพื่อเปรียบเทียบ "
ศุภาลัย ปาล์มวิลล์ ม่อนกระทิง - ลำปาง (Supalai Palm Ville Mon Krathing - Lampang),"3,990,000



เพิ่มเพื่อเปรียบเทียบ "
มัณฑนา ณ ราชพฤกษ์ (MANTANA Na Ratchaphruek),"14,000,0 - 25,000,000



เพิ่มเพื่อเปรียบเทียบ "
เศรษฐสิริ สะพานมหาเจษฎาบดินทร์ฯ (Setthasiri Maha Chesadabodin Bridge),"15,000,0 - 30,000,000



เพิ่มเพื่อเปรียบเทียบ "
เดอะ ปาล์ม ทวีวัฒนา (The Palm Thawiwattana),"19,000,000



เพิ่มเพื่อเปรียบเทียบ "
"บ้านกลางเมือง ดิ อิดิชั่น พระราม 9-พัฒนาการ 2 (Baan Klang Mueng The Edition Rama 9 - Phatthanakan 2)
N/A



เพิ่มเพื่อเปรียบเทียบ",N/A 
บางกอก บูเลอวาร์ด ซิกเนเจอร์ พระราม 2 (Bangkok Boulevard Signature Rama 2),"25,000,0 - 35,000,000



เพิ่มเพื่อเปรียบเทียบ "
วีวัลดี บางนา (VIVALDI Bangna),"16,000,0 - 25,000,000



เพิ่มเพื่อเปรียบเทียบ "
นีโอ โฮม ระยอง - ราชชุมพล (Neo Home Rayong - Ratchumphon),"5,000,0 - 7,000,000



เพิ่มเพื่อเปรียบเทียบ "
อิคอนเนเจอร์ วงแหวน - ลำลูกกา (Iconature Wongwaen - Lamlukka),"4,990,0 - 8,000,000



เพิ่มเพื่อเปรียบเทียบ "
ธนาฮาบิแทต นครอินทร์ - พระราม ๕ (Thana Habitat Nakhon In - Rama 5),"6,000,000



เพิ่มเพื่อเปรียบเทียบ "
สราญสิริ เกาะแก้ว รีทรีต (Saransiri Kohkae Retreat),"7,590,000



เพิ่มเพื่อเปรียบเทียบ "
ศุภาลัย วิลล์ วงแหวน - ลาดหลุมแก้ว (Supalai Ville Outer Ring - Lat Lum Kaeo),"3,390,000



เพิ่มเพื่อเปรียบเทียบ "
พลีโน่ วิภาวดี - รังสิต (Pleno Vibhavadi - Rangsit),"2,990,0 - 5,290,000



เพิ่มเพื่อเปรียบเทียบ "
เดอะ คอนเนค @รังสิต - อเวนิว (The Connect @Rangsit - Avenue),"3,290,000



เพิ่มเพื่อเปรียบเทียบ "
ลัดดารมย์ วงแหวน - รามอินทรา 2 (Laddarom Wongwaen - Ramintra 2),"10,000,0 - 25,000,000



เพิ่มเพื่อเปรียบเทียบ "
แกรนด์ บางกอก บูเลอวาร์ด สุขสวัสดิ์ - พระราม3 (Grand Bangkok Boulevard Suksawa - Rama3),"40,000,000



เพิ่มเพื่อเปรียบเทียบ "
ศุภาลัย ปาล์มวิลล์ สุขุมวิท - โรงโป๊ะ (Supalai Palm Ville Sukhumvit - Rongpo),"3,000,000



เพิ่มเพื่อเปรียบเทียบ "
นารา โบทานิค ราชพฤกษ์ - 345 (Nara Botanic Ratchaphruek - 345),"6,000,000



เพิ่มเพื่อเปรียบเทียบ "
เดอะ ริเวอร์ (The River),"25,000,0 - 40,000,000



เพิ่มเพื่อเปรียบเทียบ "
พลีโน่ บางนา-เทพารักษ์ (Pleno Bangna - Theparak),"2,390,000



เพิ่มเพื่อเปรียบเทียบ "
แกรนดิโอ เกษตร - นวมินทร์ (Grandio Kaset - Nawamin),"15,000,0 - 25,000,000



เพิ่มเพื่อเปรียบเทียบ "
ศุภาลัย ลากูน หัวหิน (Supalai Lagoon Huahin),"5,190,000



เพิ่มเพื่อเปรียบเทียบ "
"มอลตัน รีเสิร์ฟ ปิ่นเกล้า - กาญจนา (Malton Reserve Pinklao - Kanchana)
N/A



เพิ่มเพื่อเปรียบเทียบ",N/A 
สราญสิริ แกรนเด พุทธมณฑล สาย 3 (Saransiri Grande Phutthamonthon Sai 3),"15,000,0 - 20,000,000



เพิ่มเพื่อเปรียบเทียบ "
พลีโน่ ทาวน์ วงแหวน - รังสิต คลอง 7 (Pleno Town Wongwaen - Rangsit Klong 7),"1,490,000



เพิ่มเพื่อเปรียบเทียบ "
แกรนด์ บางกอก บูเลอวาร์ด ณ อุทยาน (Grand Bangkok Boulevard Na Utthayan),"35,000,0 - 60,000,000



เพิ่มเพื่อเปรียบเทียบ "
พลีโน่ พระราม 9-กรุงเทพกรีฑา 3 (Pleno Rama 9-Krungthep Kreetha 3),"3,390,000



เพิ่มเพื่อเปรียบเทียบ "
"ศุภาลัย แกรนด์วิลล์ เทิดพระเกียรติ (Supalai Grand Ville Terdprakiat)
N/A



เพิ่มเพื่อเปรียบเทียบ",N/A 
เศรษฐสิริ งามวงศ์วาน (Setthasiri Ngamwongwan),"18,000,0 - 30,000,000



เพิ่มเพื่อเปรียบเทียบ "
มอตโต้ สเคป เอกชัย - พระราม 2 (Motto Scape Ekkachai - Rama 2),"4,990,000



เพิ่มเพื่อเปรียบเทียบ "
เลควัลเล่ย์ ระยอง (Lake Valley Thapma - Rayong),"3,590,000



เพิ่มเพื่อเปรียบเทียบ "
เดอะ พาโน คลาสเซ่ (The Pano Classe),"3,000,000



เพิ่มเพื่อเปรียบเทียบ "
